mean,std,abs_mean,iqr,bp_delta,bp_theta,bp_alpha,bp_beta
-3.1789144e-10,0.039678507,0.029769626,0.044051323,1.3498024,0.05513405,0.06070327,0.02121964
-1.5894572e-10,0.040576685,0.031839825,0.05151633,1.9630021,0.1068642,0.097776994,0.025713611
-1.8119812e-09,0.03751541,0.029521916,0.049144633,1.3277539,0.08306422,0.08338475,0.023524698
1.0490417e-09,0.045690387,0.036758423,0.061780713,2.0802808,0.08043784,0.07057144,0.022944301
1.3033549e-09,0.035900947,0.027818518,0.044945568,1.8465925,0.0819224,0.057972252,0.024354288
1.1761984e-09,0.038382534,0.029803207,0.04836703,1.56371,0.08022116,0.062414423,0.023970807
-5.722046e-10,0.04577836,0.036395412,0.06053655,1.8937391,0.072714016,0.05009916,0.02219635
-1.5894572e-10,0.038033426,0.029047059,0.04513997,1.3091847,0.069383815,0.07362764,0.024049632
1.1761984e-09,0.03800896,0.030639332,0.052566096,1.6431241,0.103715196,0.066627756,0.024226995
2.0662944e-10,0.039331656,0.030638134,0.04976672,1.7899386,0.0675699,0.068338364,0.024260953
1.2715658e-10,0.04404637,0.034050457,0.055209957,1.5553569,0.08482601,0.10729609,0.020605545
3.1789144e-11,0.044037983,0.035550594,0.063141525,1.828627,0.07064514,0.044581674,0.039488543
-8.9009605e-10,0.04217749,0.032479163,0.051166408,1.67833,0.06848859,0.04298547,0.052089892
1.7007192e-09,0.03637967,0.02537091,0.033903576,0.72580385,0.05785376,0.035768986,0.032672487
-1.1444092e-09,0.02785997,0.019816343,0.02690513,1.3793358,0.1066656,0.055656414,0.038147736
5.086263e-10,0.026888166,0.01882543,0.026127525,0.3558318,0.07328244,0.047859464,0.03026014
4.4504803e-10,0.018505555,0.01420421,0.022550542,0.28721675,0.06555799,0.050973482,0.025520947
2.447764e-09,0.023223784,0.016569842,0.023639191,0.3434317,0.0607196,0.049724694,0.024357429
-1.5894572e-11,0.030820755,0.022664644,0.03440902,1.1527246,0.073920004,0.041129667,0.025909219
8.5830687e-10,0.02906929,0.021517167,0.03297045,0.4564188,0.06302764,0.056560945,0.02756502
8.424123e-10,0.02642222,0.016962763,0.023172626,1.2360187,0.05721201,0.047414348,0.021820758
-9.218852e-10,0.030224262,0.02220059,0.032503888,0.84304184,0.06035571,0.06684811,0.024702117
1.2715658e-10,0.029254882,0.021632494,0.031726282,0.8865444,0.06154258,0.040651526,0.023863768
-3.496806e-10,0.029275067,0.022214187,0.034836702,0.92968583,0.07398295,0.050281763,0.024692707
-5.722046e-10,0.03673505,0.028222248,0.04354588,1.5142133,0.0704565,0.051953975,0.022667099
1.4305115e-09,0.045390226,0.03282385,0.047744945,1.112404,0.054636158,0.05432937,0.019373123
-9.536743e-11,0.033459082,0.025669906,0.038880248,1.0745156,0.06500089,0.055202525,0.023929438
-1.4305115e-09,0.02790953,0.021874724,0.035614304,0.85220355,0.062784836,0.04165989,0.02451866
-1.2715658e-10,0.039453376,0.029153725,0.04463453,1.4163241,0.06266898,0.053611774,0.026448397
9.854635e-10,0.042673964,0.032409254,0.05007776,2.7707098,0.0642494,0.05174112,0.021297267
-6.198883e-10,0.03535758,0.027529474,0.04510109,1.6979055,0.06821285,0.052932113,0.02030958
-1.11262e-09,0.042891037,0.033334438,0.053071536,1.721525,0.07662435,0.05806469,0.022756824
6.357829e-11,0.039096415,0.029009758,0.042923793,1.1891721,0.052259516,0.05481751,0.02410959
-6.993612e-10,0.040931918,0.031389214,0.04898911,1.5062441,0.054590836,0.037127625,0.022504285
-2.5431315e-10,0.040625025,0.030615361,0.045723174,1.9220271,0.05213968,0.04601674,0.021517778
-5.722046e-10,0.038447745,0.029458651,0.046656296,0.9507482,0.061984845,0.051518474,0.02299901
1.1444092e-09,0.040307153,0.030062253,0.043079317,1.3051164,0.042325515,0.037317153,0.019871425
-6.357829e-11,0.040991947,0.030397333,0.045101088,1.5989412,0.093357824,0.06425305,0.023095211
1.3987224e-09,0.037857585,0.029098645,0.04556765,1.9641322,0.07570228,0.051903594,0.022020273
1.9391377e-09,0.044690173,0.029786559,0.038569205,4.063312,0.07676318,0.03812305,0.021437949
-1.4305115e-09,0.03410582,0.0257689,0.037791602,1.9616703,0.04179806,0.029110758,0.019839179
1.0490417e-09,0.037200782,0.025190158,0.031881806,1.2201371,0.05148265,0.032149266,0.020180255
-9.218852e-10,0.03071497,0.02168891,0.02986003,1.4899478,0.06837021,0.045840915,0.02126108
-1.3033549e-09,0.03841611,0.023843486,0.02783826,1.1467731,0.037964623,0.023678182,0.022867825
-2.2252401e-10,0.034428384,0.025667187,0.03919129,0.73679787,0.09247671,0.036158007,0.021977248
-6.67572e-10,0.021232752,0.0158167,0.023367029,0.47621828,0.06938137,0.029620372,0.025854927
-1.335144e-09,0.019502703,0.014894909,0.022706065,0.344435,0.08601802,0.025126362,0.021071631
-8.7420143e-10,0.026131231,0.016718756,0.021617416,0.36774978,0.06842413,0.024778845,0.0221428
-1.748403e-10,0.02210455,0.016371714,0.02488336,0.41854334,0.089524426,0.026281796,0.024777662
-2.002716e-09,0.01667145,0.013004706,0.021150853,0.19783483,0.071840584,0.033275276,0.02220785
5.086263e-10,0.020128245,0.014195043,0.020839812,0.34872374,0.055467643,0.023701213,0.02142464
-9.854635e-10,0.014401378,0.010846666,0.016796269,0.08515925,0.035747297,0.014366696,0.021418426
1.3828277e-09,0.016489184,0.01193329,0.017729394,0.11737471,0.07327406,0.021898523,0.022400575
2.193451e-09,0.019216996,0.014468575,0.022550542,0.3639546,0.08140889,0.025406156,0.02348672
-1.5894572e-11,0.019251896,0.013692248,0.019284602,0.36124855,0.060169976,0.026162546,0.028236445
-7.947286e-11,0.016816743,0.011935758,0.016329706,0.26417735,0.08379405,0.030515233,0.032954894
-1.4940897e-09,0.018334312,0.013043546,0.01866252,0.22322644,0.05313724,0.032646503,0.024116207
2.415975e-09,0.026596058,0.017266687,0.019790048,0.32904038,0.050183494,0.037100922,0.0244178
-1.3510386e-10,0.01969141,0.013198782,0.017107308,0.077374235,0.025247868,0.028561382,0.020974157
1.2715658e-10,0.020802017,0.014085097,0.02006221,0.23708245,0.049841303,0.02447643,0.031359248
2.4636587e-10,0.016846053,0.01189139,0.017418351,0.2587522,0.052077938,0.02028575,0.024582047
6.3578287e-10,0.021382615,0.014955282,0.022083983,0.27526546,0.05181552,0.028415395,0.023235258
-1.7801921e-09,0.023934018,0.015922975,0.019906688,0.322771,0.032758966,0.02444113,0.023959532
-3.8146972e-10,0.024474114,0.017946301,0.025972007,0.1989089,0.06323212,0.04692975,0.07033346
-1.5258789e-09,0.015448376,0.010028636,0.013841369,0.31477582,0.028157037,0.028593246,0.020223042
-4.4504803e-10,0.013994519,0.01043033,0.015863141,0.19660093,0.05531581,0.04485656,0.02429441
3.1789144e-11,0.01551097,0.011482502,0.017418351,0.2530512,0.053105827,0.053670492,0.02454264
-8.5830687e-10,0.02599544,0.016934177,0.023017108,0.9698951,0.05910014,0.03307455,0.023881707
-1.11262e-09,0.01869084,0.012377574,0.017729394,0.18171082,0.029163448,0.036455784,0.022025645
9.218852e-10,0.02543433,0.01783166,0.024261277,0.36038005,0.05991373,0.0521565,0.025192402
1.7325084e-09,0.02585584,0.016789725,0.02192846,0.7792695,0.066701844,0.0565012,0.02211627
1.5894572e-09,0.02671271,0.018841257,0.024883358,0.49458948,0.059054393,0.037819818,0.020660387
-7.6293943e-10,0.03690286,0.028005838,0.042923793,0.13117473,0.04372399,0.059536316,0.14686601
-1.6530355e-09,0.021318706,0.014362673,0.020528771,0.13042286,0.026717264,0.021917714,0.031740535
3.1789144e-11,0.014316359,0.011157884,0.018351479,0.10557225,0.027731106,0.03342838,0.030165663
1.748403e-10,0.016515935,0.012106613,0.018234838,0.23881231,0.040552437,0.04972976,0.025223963
-1.8437704e-09,0.018846393,0.014347574,0.023017108,0.49079162,0.06264064,0.06531518,0.0360507
4.3710072e-10,0.031377308,0.021867672,0.029743392,0.9173628,0.11740611,0.086070545,0.034358267
1.8596649e-09,0.025570052,0.018092887,0.02488336,0.8960819,0.07491441,0.044318188,0.029282246
-5.880992e-10,0.019581921,0.013358946,0.019129083,0.4807364,0.06533191,0.057076413,0.027831424
1.970927e-09,0.025664182,0.016167529,0.020684293,0.31831044,0.058003634,0.04560705,0.020196225
-2.5431315e-10,0.028814042,0.019912781,0.02783826,0.8030833,0.07342897,0.06000368,0.03156081
-4.1325887e-10,0.0180376,0.013487767,0.020762052,0.20805962,0.050482206,0.047087044,0.025807297
7.311503e-10,0.01883828,0.014286068,0.021461897,0.28403756,0.04580705,0.055868592,0.023478016
-4.1325887e-10,0.020701077,0.015882421,0.025816487,0.35201305,0.07456358,0.065749794,0.023456125
-2.0662944e-10,0.028093003,0.01898741,0.025816485,0.7934836,0.056164484,0.038866326,0.023793511
1.0490417e-09,0.029702254,0.020273546,0.02674961,1.2259296,0.06495459,0.052652575,0.021718508
1.1761984e-09,0.03134858,0.021415124,0.029393468,0.6683817,0.066464,0.0548459,0.029588163
1.2715658e-10,0.021358753,0.014680209,0.020528771,0.6671097,0.08478736,0.051732905,0.022643229
-3.1789144e-11,0.024255706,0.016727274,0.023483671,0.7313138,0.08581765,0.041199192,0.024109017
-1.1126201e-10,0.022179415,0.016893895,0.02690513,0.59067345,0.06982523,0.051158264,0.027811676
4.768372e-10,0.02448098,0.017947294,0.026905132,0.6621212,0.08641867,0.050208524,0.028151706
9.536743e-11,0.030343432,0.022035837,0.032542773,0.5137153,0.07681537,0.044943977,0.021899508
-8.2651774e-10,0.024920702,0.018724516,0.02818818,0.47487587,0.070760064,0.0501097,0.022819925
-1.2954076e-09,0.030575307,0.022190413,0.032542765,1.160284,0.09304217,0.07075344,0.023056922
-1.6848246e-09,0.02748572,0.021204289,0.03265941,0.6868308,0.054244764,0.0586605,0.023065407
1.7960866e-09,0.032656465,0.024311393,0.036702953,1.6902465,0.09925656,0.054890152,0.025088515
-4.4504803e-10,0.03194611,0.02228181,0.030832035,1.5930017,0.09099497,0.05627898,0.022333408
3.8146972e-10,0.02875278,0.020850228,0.030015554,0.7736368,0.08114742,0.057769075,0.025951792
-6.5167743e-10,0.030268772,0.022575565,0.035614304,1.0961864,0.08127481,0.070121445,0.022495123
-4.4504803e-10,0.035150222,0.02683614,0.041990668,1.8590537,0.074044965,0.08242258,0.02380652
8.2651774e-10,0.04177826,0.030109081,0.04249611,3.509725,0.084798284,0.04914576,0.022664461
-6.67572e-10,0.028135126,0.020510616,0.030637637,1.3599224,0.052247435,0.04999423,0.02348371
-2.22524e-09,0.027612751,0.021161076,0.033592537,0.93375826,0.09303263,0.0712073,0.025118293
0.0,0.02740504,0.021341654,0.034992225,0.8537666,0.058819443,0.044785757,0.024447411
-1.0808309e-09,0.041243974,0.028926585,0.04136859,3.1561482,0.08801477,0.051229328,0.025210738
-1.1444092e-09,0.03666466,0.027991816,0.043856923,1.6842183,0.0738218,0.041543256,0.019549195
-3.1789144e-10,0.03527239,0.025228005,0.034836702,2.2227883,0.08281868,0.040237837,0.020141669
7.947286e-10,0.035008047,0.026737705,0.040746503,1.5734218,0.09348771,0.05644859,0.024019564
-2.002716e-09,0.039079435,0.028679924,0.044634525,2.1396956,0.07015168,0.021257825,0.019529117
1.915296e-09,0.024694933,0.019070225,0.030482113,0.42557186,0.059605397,0.04993054,0.021889884
-6.3578287e-10,0.030772535,0.022468062,0.033437014,0.4672505,0.069477,0.06632579,0.02466314
1.335144e-09,0.02923178,0.022499077,0.036702953,0.88639313,0.061753005,0.05523436,0.021878054
-1.7801921e-09,0.03581124,0.025948435,0.03888025,1.122947,0.07009285,0.04047014,0.022047479
5.4041543e-10,0.039790124,0.030868659,0.048833594,1.4738238,0.09319175,0.073155634,0.021924619
-7.6293943e-10,0.035850596,0.027141375,0.043079317,1.3143522,0.076777644,0.043523904,0.02042473
-3.1789144e-10,0.04247724,0.03274957,0.052410573,1.1178112,0.049664386,0.06339728,0.023450788
-2.5431315e-10,0.037246972,0.029364994,0.048250392,2.0520902,0.08723264,0.03507324,0.022094138
2.861023e-10,0.037141457,0.028733574,0.046345256,1.3177494,0.052528847,0.044841275,0.021200247
-3.1789144e-10,0.03257472,0.025542522,0.04245723,0.98969495,0.07226134,0.06583385,0.019936815
3.1789144e-11,0.043017574,0.032310203,0.04825039,2.2362397,0.056134786,0.05105087,0.01981203
-1.0808309e-09,0.040675815,0.0286555,0.0407465,2.537776,0.07135743,0.029682098,0.018737119
-1.2397766e-09,0.0328823,0.025822904,0.042768274,1.3930433,0.07473275,0.053463496,0.02003605
-5.086263e-10,0.038804833,0.028668994,0.041835144,1.889278,0.06421489,0.033749677,0.021320598
-9.854635e-10,0.03754253,0.026710957,0.038258165,1.3370515,0.045720868,0.05207575,0.021758625
-5.086263e-10,0.037152242,0.02733792,0.04066874,1.4422765,0.053187143,0.044296168,0.022518294
1.4305115e-09,0.046118595,0.03596002,0.0594479,2.5282483,0.07088791,0.06427049,0.02107148
-6.357829e-11,0.038459484,0.029927123,0.048833594,1.2372526,0.07305975,0.05928517,0.01906037
2.5431315e-10,0.040303025,0.030175842,0.043856923,1.4436165,0.080490544,0.066210456,0.022510704
-6.0399374e-10,0.035566807,0.02826704,0.046345256,1.9695207,0.09407059,0.04183431,0.0227411
-6.67572e-10,0.03657305,0.027481478,0.043118194,2.3907993,0.07547305,0.062032342,0.020283487
-5.086263e-10,0.04034487,0.030879281,0.048211507,2.3406281,0.06645965,0.033751905,0.021375693
-4.768372e-10,0.041537575,0.03262812,0.050738722,2.3361635,0.05681243,0.06713851,0.019823736
-2.4954478e-09,0.03564502,0.02591875,0.036858477,1.2743511,0.049355764,0.019547157,0.020039689
-8.2651774e-10,0.030778311,0.02219139,0.033320375,1.0134227,0.04656804,0.058721457,0.03198186
1.9073486e-10,0.031137066,0.024563085,0.039346814,0.94645655,0.051944166,0.044749875,0.020128407
-7.6293943e-10,0.038792644,0.02781446,0.041407466,0.72725606,0.050814863,0.03308464,0.021272378
-7.6293943e-10,0.039078902,0.030312955,0.048055988,1.5767703,0.05979221,0.050345536,0.0196518
-1.2715658e-10,0.04251129,0.031431254,0.045878693,2.60146,0.06220489,0.03043363,0.022832103
7.6293943e-10,0.045178972,0.034856673,0.05458787,2.2640343,0.06955262,0.033716466,0.019806597
-4.1325887e-10,0.03335839,0.025212651,0.03919129,1.437763,0.075003654,0.043695983,0.020657703
1.8437704e-09,0.04255235,0.031607386,0.050272163,3.1047626,0.059079222,0.052552946,0.020319091
-1.8437704e-09,0.043530084,0.033585805,0.05272162,2.2372963,0.04947167,0.047947753,0.019352479
2.5431315e-10,0.040291987,0.031673625,0.050427683,2.4113314,0.05937056,0.051531818,0.020222466
-1.2715658e-10,0.036619127,0.028027816,0.044167962,1.0235827,0.06659289,0.051449034,0.019921146
-5.4041543e-10,0.03751773,0.028581966,0.045567654,2.0973847,0.047385737,0.029871004,0.019096322
4.609426e-10,0.04490491,0.029372321,0.036858477,1.5545512,0.04906594,0.020787997,0.018041473
1.0808309e-09,0.03309704,0.024293482,0.037013996,2.0742528,0.048689116,0.036452126,0.022394305
-6.67572e-10,0.033401757,0.025717456,0.04199067,0.9254385,0.052463405,0.046140615,0.017560087
2.1616617e-09,0.03934907,0.030465443,0.050233282,1.217027,0.06201627,0.048034184,0.01894773
-4.4504803e-10,0.03287859,0.025531266,0.041213065,1.4910823,0.05690581,0.06845514,0.017264644
5.086263e-10,0.03994566,0.03045365,0.047744945,1.6418481,0.05912921,0.030559193,0.019922968
-1.2079875e-09,0.034145016,0.02653375,0.044167962,1.0648288,0.048386157,0.03996408,0.020085508
1.6371409e-09,0.029045507,0.022040686,0.034525663,1.0085337,0.049936615,0.048758462,0.020052385
-3.33786e-10,0.04258132,0.032418586,0.050738722,2.8743625,0.06902547,0.049217537,0.020377045
2.2252401e-10,0.02985584,0.021736149,0.032503888,1.1149606,0.06662409,0.03752033,0.019329002
6.3578287e-10,0.035414238,0.02579412,0.03810264,1.5997599,0.060938578,0.03557597,0.020435264
1.8437704e-09,0.03832188,0.027999582,0.041213065,1.0646124,0.04224174,0.03742738,0.019169377
2.1616617e-09,0.03212505,0.024433132,0.037169516,1.2841148,0.06680785,0.0390719,0.01847881
-6.67572e-10,0.030911507,0.023031967,0.034992225,0.6092536,0.04573804,0.033466533,0.020918265
7.6293943e-10,0.059650194,0.045320448,0.068584755,1.8355014,0.0918328,0.08716589,0.13728227
-1.5497208e-09,0.022318613,0.015080649,0.020062208,0.3795917,0.046379484,0.036852848,0.027097581
1.2556712e-09,0.025548812,0.016167738,0.020878693,0.10729247,0.03977604,0.036642596,0.028009227
8.2651774e-10,0.027075164,0.019162087,0.027060654,0.6593876,0.049735047,0.04777534,0.027372863
-1.1444092e-09,0.027546003,0.018369194,0.022706065,0.78051925,0.07685072,0.027543986,0.02640999
-4.4504803e-10,0.023126822,0.016915554,0.025349922,0.4755465,0.050947513,0.03219869,0.029371338
6.755193e-10,0.027967464,0.019451322,0.027449457,0.64960253,0.06475448,0.043519694,0.031352688
1.446406e-09,0.019883577,0.014283336,0.021461898,0.47516394,0.048306115,0.028097935,0.02627576
3.8146972e-10,0.025924275,0.01791497,0.02379471,0.33091426,0.04343779,0.035077225,0.033271685
1.2397766e-09,0.023609158,0.017614692,0.02674961,0.26478484,0.066675074,0.041292656,0.028819736
2.0662944e-10,0.016580276,0.012847219,0.020878693,0.17794965,0.037692234,0.026174702,0.026908724
2.6067097e-09,0.033646528,0.024060534,0.032231726,1.4999605,0.08607992,0.0477521,0.0289199
1.9073486e-10,0.02596616,0.017041579,0.022861585,0.5974692,0.058672313,0.04641402,0.026324479
9.854635e-10,0.028112322,0.019979224,0.02830482,0.6894055,0.06494343,0.0384411,0.027968384
2.861023e-10,0.021455245,0.015410781,0.02192846,0.3498647,0.051201552,0.03763498,0.030032117
2.9881795e-09,0.02226401,0.017037898,0.026438568,0.4887885,0.057486854,0.04335011,0.030426932
-5.5631e-10,0.028140346,0.019517371,0.027527217,0.41110793,0.06749255,0.043789078,0.030451424
