label,model,score,configuration,format,reasoning_blocks,reasoning_chars,reasoning_words,reasoning_p50_chars,reasoning_p90_chars,marker_first_lines,we,let_me,lets,i,visible_blocks,tool_calls,ptc_subcalls,ptc_invalid_args,ptc_code_failures,output_tokens,reasoning_tokens,cache_read_tokens,duration_minutes
v4pro-gray-99-opencode,DeepSeek-V4-Pro,99,gray/OpenCode,opencode-json,46,31823,5051,285,995,0,4,9,0,137,24,129,,,,51391,6536,19058048,32.16
v4pro-gray-96-opencode,DeepSeek-V4-Pro,96,gray/OpenCode,opencode-json,45,36787,5806,336,1896,0,2,4,0,172,25,131,,,,54912,7764,17841472,32.08
v4pro-formal-93-opencode,DeepSeek-V4-Pro,93,formal/OpenCode,opencode-json,119,230078,32985,973,3940,0,17,249,1,216,37,274,,,,87468,61072,64352000,51.95
v4pro-minimal-99-dsh,DeepSeek-V4-Pro,99,DSH minimal/max/WSL,dsh-jsonl,177,230787,32317,235,3217,28,272,0,101,17,1,194,,,,128176,53053,34499328,43.46
v4pro-minimal-96-dsh,DeepSeek-V4-Pro,96,DSH minimal/max/WSL,dsh-jsonl,150,163393,23283,239,3006,16,231,0,117,18,1,171,,,,101776,38886,28434688,40.24
v4pro-standard-91-dsh,DeepSeek-V4-Pro,91,DSH standard/max/WSL,dsh-jsonl,99,150383,21675,437,2636,0,11,208,2,137,55,189,,,,114622,39338,29576320,24.08
v4pro-ptc-92-dsh,DeepSeek-V4-Pro,92,DSH PTC/max/WSL,dsh-jsonl,94,165736,23376,550,2443,0,16,194,0,237,33,164,187,10,3,117952,43981,22626048,25.95
v4pro-anchored-standard-98-dsh,DeepSeek-V4-Pro,98,DSH anchored-standard/max/Windows,dsh-jsonl,193,162056,22568,111,1872,7,179,1,88,17,1,242,,,,117800,38956,44946560,30.07
v4flash-formal-92-opencode,DeepSeek-V4-Flash,92,formal/OpenCode,opencode-json,67,97440,13846,365,2365,0,5,124,1,108,47,149,,,,58899,26459,25173248,29.22
v4flash-minimal-92-dsh,DeepSeek-V4-Flash,92,DSH minimal/max/WSL,dsh-jsonl,173,129554,17902,128,1526,14,209,0,163,9,1,178,,,,70293,31821,29051136,25.47
